NONE;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x;
X04_liberal;Liberal Party;Parti libéral;Liberale Partei;Partia Liberalna;Partido Liberal;Partito liberale;Liberalt parti;Liberální strana;Liberális párt;Liberale partij;Partido Liberal;;Liberaalipuolue;x;
X04_reactionary;National Party;parti national;nationale Partei;Partia narodowa;partido Nacional;Festa nazionale;Nationalfest;Národní strana;Nemzeti párt;Nationale partij;Partido Nacional;;Kansallinen puolue;x;
X04_socialist;Socialist Party;parti socialiste;sozialistische Partei;partia Socjalistyczna;partido Socialista;Partito socialista;Socialistisk parti;Socialistická strana;Szocialista párt;socialistische Partij;partido Socialista;;Sosialistipuolue;x;
X05;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;;Weimar;x;
X05_ADJ;Weimarian;Weimarian;Weimarler;Weimarian;Weimarian;Weimarian;Väder-;Weimarian;Weimian;Weimarian;Weimarian;;Weimarian;x;
X05_anarcho_liberal;Radical Party;Partie radicale;Radikale Partei;Radykalna strona;Fiesta radical;Festa radicale;Radikalpartiet;Radikální strana;Radikális párt;Radicale partij;Partido radical;;Radikaala;x;
X05_communist;Communist Party;parti communiste;Kommunistische Partei;partii komunistycznej;fiesta comunista;partito Comunista;kommunistiska partiet;komunistická strana;kommunista Párt;communistische Partij;partido Comunista;;kommunistinen puolue;x;
X05_conservative;Conservative Party;Parti conservateur;Konservative Partei;Partia konserwatywna;Partido Conservador;Partito conservatore;Konservativa partiet;Konzervativní strana;Konzervatív Párt;Conservatieve partij;Partido Conservador;;Konservatiivipuolue;x;
X05_fascist;Fascist Party;Partie fasciste;Faschistische Partei;Impreza faszystowska;Partido fascista;Partito fascista;Fascistfest;Fašistická strana;Fasiszta párt;Fascistische partij;Festa fascista;;Fasistinen puolue;x;
X05_liberal;Liberal Party;Parti libéral;Liberale Partei;Partia Liberalna;Partido Liberal;Partito liberale;Liberalt parti;Liberální strana;Liberális párt;Liberale partij;Partido Liberal;;Liberaalipuolue;x;
X05_reactionary;National Party;parti national;nationale Partei;Partia narodowa;partido Nacional;Festa nazionale;Nationalfest;Národní strana;Nemzeti párt;Nationale partij;Partido Nacional;;Kansallinen puolue;x;
X05_socialist;Socialist Party;parti socialiste;sozialistische Partei;partia Socjalistyczna;partido Socialista;Partito socialista;Socialistisk parti;Socialistická strana;Szocialista párt;socialistische Partij;partido Socialista;;Sosialistipuolue;x;
X06;Werle;Se balancer;Werle;Werle;Értima;Werle;Va;Bídný;Meghajol;Werle;Werle;;Werle;x;
X06_ADJ;Werlian;Werlian;Werlian;Werlian;Werlian;Werlian;Werlian;Werlian;Werlian;Werlian;Werlian;;Werlian;x;
X06_anarcho_liberal;Radical Party;Partie radicale;Radikale Partei;Radykalna strona;Fiesta radical;Festa radicale;Radikalpartiet;Radikální strana;Radikális párt;Radicale partij;Partido radical;;Radikaala;x;
X06_communist;Communist Party;parti communiste;Kommunistische Partei;partii komunistycznej;fiesta comunista;partito Comunista;kommunistiska partiet;komunistická strana;kommunista Párt;communistische Partij;partido Comunista;;kommunistinen puolue;x;
X06_conservative;Conservative Party;Parti conservateur;Konservative Partei;Partia konserwatywna;Partido Conservador;Partito conservatore;Konservativa partiet;Konzervativní strana;Konzervatív Párt;Conservatieve partij;Partido Conservador;;Konservatiivipuolue;x;
X06_fascist;Fascist Party;Partie fasciste;Faschistische Partei;Impreza faszystowska;Partido fascista;Partito fascista;Fascistfest;Fašistická strana;Fasiszta párt;Fascistische partij;Festa fascista;;Fasistinen puolue;x;
X06_liberal;Liberal Party;Parti libéral;Liberale Partei;Partia Liberalna;Partido Liberal;Partito liberale;Liberalt parti;Liberální strana;Liberális párt;Liberale partij;Partido Liberal;;Liberaalipuolue;x;
X06_reactionary;National Party;parti national;nationale Partei;Partia narodowa;partido Nacional;Festa nazionale;Nationalfest;Národní strana;Nemzeti párt;Nationale partij;Partido Nacional;;Kansallinen puolue;x;
X06_socialist;Socialist Party;parti socialiste;sozialistische Partei;partia Socjalistyczna;partido Socialista;Partito socialista;Socialistisk parti;Socialistická strana;Szocialista párt;socialistische Partij;partido Socialista;;Sosialistipuolue;x;
